Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C2, C23, C35",0603,6,0.1uf,
C11,0603,1,10nf,
"C12, C39",0603,2,47nf,
"C13, C18, C19, C24, C4, C40, C7, C8, C9",0603,9,22uf,
"C15, C3, C37, C42, C6",0603,5,10uf,
"C16, C17, C20, C22, C29, C36, C5",0603,7,1uf,
"C21, C28, C33, C34",0603,4,100nf,
"C30, C31",0603,2,18pf,
C41,0603,1,4.7uf,
D1,D_SMA_Handsoldering,1,SMAJ6.0CA,
D3,SOTFL35P100X50-3N,1,solder pads for rfp,
D4,SOTFL35P100X50-3N,1,solder pads for wifi/btp,
D5,SOTFL35P100X50-3N,1,TOUCHp,
D6,0603,1,LED,
F1,FUSE_MF-SM185_BRN,1,MF-SM250-2,
J1,260,1,260 SODIMM,
J10,HDMI_Micro-D_Molex_46765-2xxx,1,HDMI_A,
J12,USB 3.0,1,USB,
J13,TOUCH,1,TOUCH,
J14,RF,1,solder pads for rf,
J15,WIFI_BT,1,solder pads for wifi/bt,
J2,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,Conn_02x11_Odd_Even,
"J3, J4, J5",battery,3,Battery,
"J6, J7",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,speaker 1,
L1,INDUCTOR,1,2.2uH,
L2,WE-LHMI_7050,1,74437349010,
"R1, R15, R16, R17, R19, R2, R20, R21, R22, R3, R32",0603,11,10k,
"R10, R6",0603,2,180k,
"R11, R28, R29",0603,3,5.1k,
R12,0603,1,29.87k,
"R13, R14, R23, R24, R27, R9",0603,6,2.2k,
R18,0603,1,12k,
R25,0603,1,240k,
R26,0603,1,1k,
"R30, R31, R7, R8",0603,4,56k,
R4,0603,1,47k,
R5,0603,1,255k,
"S1, S2, S3",SIDESWITCH,3,SIDESWITCH,
U1,TLV,1,TLV75533PDQNR,
U2,DGS10,1,TS5A23157DGSR,
U3,TPS,1,TPS61088RHLR,
U4,SOT-23-5,1,AP2112K-1.8,
U5,SSM,1,SSM2518CPZ,
U6,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,
U7,HUB,1,USB2422/MJ,
U8,BMI,1,BMI270,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,24MHZ,
