Designator,Mid X,Mid Y,Rotation,Layer
C1,112.3625,-86.5,180.0,top
C10,166.8625,-97.825,180.0,top
C11,174.3625,-85.0,0.0,top
C12,169.8625,-85.5,0.0,top
C13,111.0,-102.8625,180.0,top
C14,110.5,-96.8625,90.0,top
C15,125.1375,-135.5,0.0,top
C16,105.3625,-92.5,0.0,top
C17,123.0,-89.8625,90.0,top
C18,153.6375,-82.0,0.0,top
C19,133.8625,-78.5,180.0,top
C2,119.1375,-102.8625,180.0,top
C20,123.5,-103.0,180.0,top
C21,122.5,-9.5,90.0,top
C22,178.5,-100.3625,90.0,top
C23,181.0,-91.1375,270.0,top
C24,148.5,-77.8625,90.0,top
C28,163.5,-128.5,0.0,top
C29,171.0,-78.3625,90.0,top
C3,110.5,-91.8625,90.0,top
C30,166.8625,-104.5,0.0,top
C31,151.1375,-104.5,0.0,top
C33,117.1375,-135.5,0.0,top
C34,127.5,-95.6375,90.0,top
C35,117.0,-140.1375,90.0,top
C36,120.097598,-145.637501,90.0,top
C37,128.6375,-141.0,0.0,top
C39,149.1375,-83.0,180.0,top
C4,118.1375,-88.5,0.0,top
C40,172.1375,-103.0,180.0,top
C41,128.8625,-91.0,0.0,top
C42,179.5,-96.6375,270.0,top
C5,105.6375,-99.0,0.0,top
C6,115.1375,-103.0,180.0,top
C7,129.0,-136.3625,90.0,top
C8,127.5,-100.6375,90.0,top
C9,167.5,-89.3625,90.0,top
D1,138.0,-148.5,180.0,top
D3,172.52,-14.85,0.0,top
D4,172.52,-17.4,0.0,top
D5,171.48,-128.0,0.0,top
D6,180.125,-7.5,0.0,top
F1,150.0,-146.5,180.0,top
J1,140.375,-41.4,0.0,top
J10,176.5,-140.4,0.0,top
J12,140.432854,-156.65,0.0,top
J13,177.5,-130.0,0.0,top
J14,164.5,-16.5,0.0,top
J15,164.5,-23.73,0.0,top
J2,107.75,-10.35,0.0,top
J3,138.0,-27.5,0.0,top
J4,141.0,-75.05,0.0,top
J5,141.5,-102.05,0.0,top
J6,101.55,-151.55,180.0,top
J7,179.5,-151.55,180.0,top
L1,106.5,-121.0,0.0,top
L2,159.5,-87.0,270.0,top
R1,180.5,-18.0875,270.0,top
R10,176.5875,-90.5,180.0,top
R11,123.0,-98.0875,90.0,top
R12,134.0875,-102.0,180.0,top
R13,115.0,-144.4125,90.0,top
R14,112.5,-31.0875,90.0,top
R15,145.0875,-125.0,0.0,top
R16,135.5,-129.0875,90.0,top
R17,130.4125,-114.5,270.0,top
R18,133.4125,-125.0,0.0,top
R19,180.5,-29.4125,90.0,top
R2,163.0,-78.9125,90.0,top
R20,110.7625,-77.47,0.0,top
R21,163.0,-28.4125,90.0,top
R22,172.0875,-32.0,0.0,top
R23,112.6375,-135.5,180.0,top
R24,133.0,-139.4125,270.0,top
R25,167.5875,-137.0,0.0,top
R26,181.0,-12.4125,90.0,top
R27,133.9125,-20.0,180.0,top
R28,171.4125,-121.5,0.0,top
R29,161.9125,-122.5,0.0,top
R3,112.55,-140.0875,270.0,top
R30,152.95,-130.0,0.0,top
R31,155.95,-124.0,180.0,top
R32,167.9125,-30.0,180.0,top
R4,176.9125,-31.0,180.0,top
R5,165.0,-93.4125,90.0,top
R6,169.0,-143.5,90.0,top
R7,169.0,-147.4125,90.0,top
R8,178.5,-85.4125,270.0,top
R9,107.5875,-84.0,0.0,top
S1,182.0,-42.0,90.0,top
S2,98.65,-37.675,270.0,top
S3,98.65,-26.5,270.0,top
U1,143.5,-93.825,0.0,top
U2,158.3625,-136.0,0.0,top
U3,171.85,-95.25,0.0,top
U4,138.8625,-94.95,180.0,top
U5,122.097598,-140.000001,0.0,top
U6,118.25,-95.0375,0.0,top
U7,172.25,-24.555,0.0,top
U8,140.0,-20.9125,0.0,top
Y1,159.4,-104.5,180.0,top
